PMID,OWN,STAT,LR,IS,VI,DP,TI,PG,LID,AB,CI,FAU,AU,AD,LA,PT,DEP,PL,TA,JT,JID,SB,PMC,OTO,OT,EDAT,MHDA,CRDT,PHST,AID,PST,SO,IP,COIS,AUID,DCOM,MH,CON,RN,GR,PS,FPS,TT,CN,CIN,MID,RF
32571984,NLM,In-Process,20201016,2042-7670 (Electronic) 0042-4900 (Linking),187,2020 Oct 3,Veterinarians and impostor syndrome: an exploratory study.,271,10.1136/vr.105914 [doi],"BACKGROUND: Impostor syndrome (IS) is the tendency to doubt one's abilities despite positive evidence to the contrary. Individuals with IS are afraid of being discovered as intellectual frauds and attribute their successes to external qualities. METHODS: An international study explored the prevalence and severity of IS in practicing veterinarians. An anonymous survey consisting of the 20-question Clance Impostor Phenomenon Scale, plus additional demographic and work-related questions, was distributed online. RESULTS: A total of 941 practicing veterinarians responded. Overall, 631 participants (68 per cent) met or exceeded the clinical cut-off score for IS. Ordinal regressions found that residing in New Zealand (NZ) or the UK, being female or having been in practice for less than five years increased the odds of having a high IS score. The effect of these factors on the perceived degree of impact of IS on participants' professional and personal life was also explored. Women, UK residents and new practitioners reported higher levels of impact in their professional life. However, sex and country of residence did not affect the degree of impact on participants' personal life. CONCLUSION: Veterinarians in general have an alarmingly high prevalence of IS with young, female graduates practising in the UK and NZ at increased risk.","['(c) British Veterinary Association 2020. No commercial re-use. See rights and', 'permissions. Published by BMJ.']","['Kogan, Lori R', 'Schoenfeld-Tacher, Regina', 'Hellyer, Peter', 'Grigg, Emma K', 'Kramer, Emily']","['Kogan LR', 'Schoenfeld-Tacher R', 'Hellyer P', 'Grigg EK', 'Kramer E']","['Clinical Sciences, Colorado State University, Fort Collins, Colorado, USA lori.kogan@colostate.edu.', 'Department of Molecular Biomedical Sciences, NCSU College of Veterinary Medicine, Raleigh, North Carolina, USA.', 'Clinical Sciences, Colorado State University, Fort Collins, Colorado, USA.', 'Department of Population Health and Reproduction, School of Veterinary Medicine, University of California Davis, Davis, California, USA.', 'Biomedical Sciences, College of Veterinary Medicine and Biomedical Sciences, Colorado State University, Fort Collins, Colorado, USA.']",['eng'],['Journal Article'],20200622,England,Vet Rec,The Veterinary record,0031164,IM,,['NOTNLM'],"['*burnout', '*depression', '*imposter syndrome', '*mental health']",2020/06/24 06:00,2020/06/24 06:00,['2020/06/24 06:00'],"['2020/02/17 00:00 [received]', '2020/05/01 00:00 [revised]', '2020/05/28 00:00 [accepted]', '2020/06/24 06:00 [pubmed]', '2020/06/24 06:00 [medline]', '2020/06/24 06:00 [entrez]']","['vr.105914 [pii]', '10.1136/vr.105914 [doi]']",ppublish,Vet Rec. 2020 Oct 3;187(7):271. doi: 10.1136/vr.105914. Epub 2020 Jun 22.,7,['Competing interests: None declared.'],['ORCID: 0000-0002-5816-9672'],,,,,,,,,,,,
32540160,NLM,In-Data-Review,20201001,1973-8102 (Electronic) 0010-9452 (Linking),131,2020 Oct,Catching the imposter in the brain: The case of Capgras delusion.,295-304,S0010-9452(20)30180-5 [pii] 10.1016/j.cortex.2020.04.025 [doi],"Here we describe a rare case of Capgras delusion - a misidentification syndrome characterized by the belief that a person has been replaced by an imposter - in a patient without evident neurological or psychiatric symptoms. Intriguingly, delusional belief was selective for both person and modality, as the patient believed that his son - not his daughter or other relatives - was substituted with an imposter only while being in presence of him and looking at his face, but not when merely listening to his voice. A neuroanatomical reconstruction obtained integrating morphological and functional patient's neuroimaging data highlighted two main peculiarities: a compression of the rostral portion of right temporal lobe due to a large arachnoid cyst, and a bilaterally reduced metabolism of frontal areas. Autonomic data obtained from thermal infra-red camera and skin conductance recordings showed that a higher sympathetic activation was evoked by the observation of daughter's face, relative to the observation of the son's face as well as of not-familiar faces; conversely, daughter and son voices elicited a similar sympathetic activation, higher relative to not-familiar voices, indicating a modality-dependent dissociation consistent with the delusional behavior. Our case supports the ""two-hit hypothesis"" about Capgras delusion etiopathogenesis: here, the first hit is represented by the right-temporal lesion impairing the association between familiar faces and emotional values, the second one is the frontal bilateral hypometabolism favoring delusional behavior. The selective occurrence of ""imposter"" delusion for a particular subject and for a specific perceptual modality suggests the involvement of modality-specific interactions in the retrieval of affective properties during familiar people recognition.",['Copyright (c) 2020 Elsevier Ltd. All rights reserved.'],"['Nuara, Arturo', 'Nicolini, Ylenia', ""D'Orio, Piergiorgio"", 'Cardinale, Francesco', 'Rizzolatti, Giacomo', 'Avanzini, Pietro', 'Fabbri-Destro, Maddalena', 'De Marco, Doriana']","['Nuara A', 'Nicolini Y', ""D'Orio P"", 'Cardinale F', 'Rizzolatti G', 'Avanzini P', 'Fabbri-Destro M', 'De Marco D']","['CNR Neuroscience Institute, Parma, Italy; Unit of Neuroscience, Department of Medicine and Surgery, University of Parma, Italy. Electronic address: arturo.nuara@gmail.com.', 'Unit of Neuroscience, Department of Medicine and Surgery, University of Parma, Italy.', 'CNR Neuroscience Institute, Parma, Italy; <<Claudio Munari>> Centre for Epilepsy Surgery, ASST GOM Niguarda, Milan, Italy.', '<<Claudio Munari>> Centre for Epilepsy Surgery, ASST GOM Niguarda, Milan, Italy.', 'CNR Neuroscience Institute, Parma, Italy.', 'CNR Neuroscience Institute, Parma, Italy.', 'CNR Neuroscience Institute, Parma, Italy.', 'CNR Neuroscience Institute, Parma, Italy.']",['eng'],['Case Reports'],20200519,Italy,Cortex,Cortex; a journal devoted to the study of the nervous system and behavior,0100725,IM,,['NOTNLM'],"['Capgras syndrome', 'Faces recognition', 'Imposter delusion', 'Misidentification', 'Neuroimaging']",2020/06/17 06:00,2020/06/17 06:00,['2020/06/17 06:00'],"['2019/11/18 00:00 [received]', '2020/03/21 00:00 [revised]', '2020/04/24 00:00 [accepted]', '2020/06/17 06:00 [pubmed]', '2020/06/17 06:00 [medline]', '2020/06/17 06:00 [entrez]']","['S0010-9452(20)30180-5 [pii]', '10.1016/j.cortex.2020.04.025 [doi]']",ppublish,Cortex. 2020 Oct;131:295-304. doi: 10.1016/j.cortex.2020.04.025. Epub 2020 May 19.,,,,,,,,,,,,,,,
32379143,NLM,MEDLINE,20201119,1938-808X (Electronic) 1040-2446 (Linking),95,2020 Sep,Anticipating the Impact of the USMLE Step 1 Pass/Fail Scoring Decision on Underrepresented-in-Medicine Students.,1318-1321,10.1097/ACM.0000000000003490 [doi],"Three-digit United States Medical Licensing Examination (USMLE) Step 1 scores have assumed an outsized role in residency selection decisions, creating intense pressure for medical students to obtain a high score on this exam. In February 2020, the Federation of State Medical Boards and the National Board of Medical Examiners announced that Step 1 would transition to pass/fail scoring beginning in 2022.The authors discuss the potential advantages and disadvantages of the pass/fail scoring change for underrepresented-in-medicine (UiM) trainees. UiM students may benefit from this change because it reduces the effect of an inequitable exam; helps correct for students who attend medical schools with a curriculum heavier on nontested formative elements; and decreases stress, improves quality of life, and undermines imposter syndrome. However, this change may also precipitate unforeseen challenges, such as increased discrimination toward UiM trainees, an increase in high-stakes test failures due to a reduced focus on preparing for standardized exams, or the development of new (e.g., subject exams) or overreliance on existing (e.g., school ranking) metrics that would make UiM residency candidates less competitive.To enhance UiM representation in the future health care workforce, it is imperative that national organizations (e.g., accrediting, licensing, regulatory, professional, honor, student, and faculty), hospitals, residency programs, and patient advocacy groups undertake a shared, rigorous approach in assessing the impact of the pass/fail scoring change on UiM applicants' selection to specialty and subspecialty residencies.",,"['McDade, William', 'Vela, Monica B', 'Sanchez, J P']","['McDade W', 'Vela MB', 'Sanchez JP']","['W. McDade is chief diversity and inclusion officer, Accreditation Council for Graduate Medical Education, Chicago, Illinois. M.B. Vela is professor of medicine and associate dean for multicultural affairs, Pritzker School of Medicine, The University of Chicago, Chicago, Illinois. J.P. Sanchez is president, Building the Next Generation of Academic Physicians, New York, New York, and executive director, Latino Medical Student Association, Tallahassee, Florida.']",['eng'],['Journal Article'],,United States,Acad Med,Academic medicine : journal of the Association of American Medical Colleges,8904605,AIM IM,,,,2020/05/08 06:00,2020/11/20 06:00,['2020/05/08 06:00'],"['2020/05/08 06:00 [pubmed]', '2020/11/20 06:00 [medline]', '2020/05/08 06:00 [entrez]']",['10.1097/ACM.0000000000003490 [doi]'],ppublish,Acad Med. 2020 Sep;95(9):1318-1321. doi: 10.1097/ACM.0000000000003490.,9,,,20201119,"['*Cultural Diversity', 'Education, Medical, Undergraduate', 'Educational Measurement/*methods', 'Humans', '*Internship and Residency', '*Licensure, Medical', '*Students, Medical', 'United States']",,,,,,,,,,
32332226,NLM,MEDLINE,20200518,1538-8662 (Electronic) 0361-1817 (Linking),45,2020 May,Takotsubo syndrome: The great imposter.,6-10,10.1097/01.NPR.0000660372.50859.63 [doi],,,"['Cantey, Christina']",['Cantey C'],"['Christina Cantey is an NP at McMillion Medical Group, Huntsville, Ala.']",['eng'],"['Case Reports', 'Journal Article']",,United States,Nurse Pract,The Nurse practitioner,7603663,IM N,,,,2020/04/26 06:00,2020/05/19 06:00,['2020/04/26 06:00'],"['2020/04/26 06:00 [entrez]', '2020/04/26 06:00 [pubmed]', '2020/05/19 06:00 [medline]']","['10.1097/01.NPR.0000660372.50859.63 [doi]', '00006205-202005000-00002 [pii]']",ppublish,Nurse Pract. 2020 May;45(5):6-10. doi: 10.1097/01.NPR.0000660372.50859.63.,5,,,20200518,"['Aftercare', 'Aged', 'Diagnosis, Differential', 'Female', 'Humans', 'Nurse Practitioners', 'Nursing Diagnosis', 'Patient Education as Topic', 'Recurrence', 'Takotsubo Cardiomyopathy/*diagnosis/nursing/physiopathology/therapy']",,,,,,,,,,
32313591,NLM,PubMed-not-MEDLINE,20200928,1935-7877 (Print) 1935-7877 (Linking),21,2020,Suggestions for Improving Invited Speaker Diversity To Reflect Trainee Diversity.,,21.1.22 [pii] 10.1128/jmbe.v21i1.2105 [doi],"Within the field of biomedical research in the United States, the proportion of underrepresented minorities at the Full Professor level has remained consistently low, even though trainee demographics are becoming more diverse. Underrepresented groups face a complex set of barriers to achieving faculty status, including imposter syndrome, increased performance expectations, and patterns of exclusion. Institutionalized racism and sexism have contributed to these barriers and perpetuated policy that excludes underrepresented minorities. These barriers can contribute to decreased feelings of belonging, which may result in decreased retention of underrepresented minorities. Though some universities have altered their hiring practices to increase the number of underrepresented minorities in the applicant pool, these changes have not been sufficient. Here we argue that departmental invited seminar series can be used to provide trainees with scientific role models and increase their sense of belonging while institutions work towards more inclusive policy. In this study, we investigated the demographics (gender and race) of invited seminar speakers over 5 years to the Department of Microbiology and Immunology at the University of Michigan. We also investigated current trainee demographics and compared them to invited speaker demographics to gauge if our trainees were being provided with representation of themselves. We found that invited speaker demographics were skewed towards Caucasian men, and our trainee demographics were not being represented. From these findings, we proposed policy change within the department to address how speakers are being invited with the goal of increasing speaker diversity to better reflect trainee diversity. To facilitate this process, we developed a set of suggestions and a web-based resource that allows scientists, committees, and moderators to identify members of underserved groups. These resources can be easily adapted by other fields or subfields to promote inclusion and diversity at seminar series, conferences, and colloquia.",['(c)2020 Author(s). Published by the American Society for Microbiology.'],"['Hagan, Ada K', 'Pollet, Rebecca M', 'Libertucci, Josie']","['Hagan AK', 'Pollet RM', 'Libertucci J']","['Department of Microbiology and Immunology, University of Michigan, Ann Arbor, MI 48109.', 'Department of Microbiology and Immunology, University of Michigan, Ann Arbor, MI 48109.', 'Department of Microbiology and Immunology, University of Michigan, Ann Arbor, MI 48109.']",['eng'],['Journal Article'],20200410,United States,J Microbiol Biol Educ,Journal of microbiology & biology education,101543341,,PMC7148143,,,2020/04/22 06:00,2020/04/22 06:01,['2020/04/22 06:00'],"['2019/10/01 00:00 [received]', '2020/02/28 00:00 [accepted]', '2020/04/22 06:00 [entrez]', '2020/04/22 06:00 [pubmed]', '2020/04/22 06:01 [medline]']","['10.1128/jmbe.v21i1.2105 [doi]', 'jmbe-21-22 [pii]']",epublish,J Microbiol Biol Educ. 2020 Apr 10;21(1). pii: jmbe-21-22. doi: 10.1128/jmbe.v21i1.2105. eCollection 2020.,1,,,,,,,,,,,,,,
32080403,NLM,MEDLINE,20200428,1471-0048 (Electronic) 1471-003X (Linking),21,2020 Apr,Imposter syndrome?,180-181,10.1038/s41583-020-0280-8 [doi],,,"['Lewis, Sian']",['Lewis S'],"['Nature Reviews Neuroscience, . nrn@nature.com.']",['eng'],"['Journal Article', 'Comment']",,England,Nat Rev Neurosci,Nature reviews. Neuroscience,100962781,IM,,,,2020/02/23 06:00,2020/04/28 06:00,['2020/02/22 06:00'],"['2020/02/23 06:00 [pubmed]', '2020/04/28 06:00 [medline]', '2020/02/22 06:00 [entrez]']","['10.1038/s41583-020-0280-8 [doi]', '10.1038/s41583-020-0280-8 [pii]']",ppublish,Nat Rev Neurosci. 2020 Apr;21(4):180-181. doi: 10.1038/s41583-020-0280-8.,4,,,20200427,"['Cell Physiological Phenomena', '*Cerebral Cortex', '*Organoids', '*Stress, Physiological']",['Nature. 2020 Feb;578(7793):142-148. PMID: 31996853'],,,,,,,,,
32054753,NLM,MEDLINE,20200423,1095-9203 (Electronic) 0036-8075 (Linking),367,2020 Feb 14,Imposter syndrome threatens diversity.,749-750,10.1126/science.aba8039 [doi],,,"['Chrousos, George P', 'Mentis, Alexios-Fotios A']","['Chrousos GP', 'Mentis AA']","['University Research Institute of Maternal and Child Health & Precision Medicine, and UNESCO Chair on Adolescent Health Care, National and Kapodistrian University of Athens, ""Aghia Sophia"" Children\'s Hospital, Athens, Greece. chrousge@med.uoa.gr.', 'Public Health Laboratories, Hellenic Pasteur Institute, Athens, Greece.', 'Laboratory of Microbiology, University Hospital of Larissa, School of Medicine, University of Thessaly, Larissa, Greece.']",['eng'],['Letter'],,United States,Science,"Science (New York, N.Y.)",0404511,IM,,,,2020/02/15 06:00,2020/04/24 06:00,['2020/02/15 06:00'],"['2020/02/15 06:00 [entrez]', '2020/02/15 06:00 [pubmed]', '2020/04/24 06:00 [medline]']","['367/6479/749-b [pii]', '10.1126/science.aba8039 [doi]']",ppublish,Science. 2020 Feb 14;367(6479):749-750. doi: 10.1126/science.aba8039.,6479,,,20200423,"['Cultural Diversity', '*Deception', 'Female', 'Humans', '*Imitative Behavior', 'Male', '*Psychological Distress', 'Student Dropouts/*psychology', 'Syndrome']",,,,,,,,,,
32020154,NLM,In-Process,20200206,0379-5284 (Print) 0379-5284 (Linking),41,2020 Feb,Burnout and imposter syndrome among Saudi young adults. The strings in the puppet show of psychological morbidity.,189-194,10.15537/smj.2020.2.24841 [doi],"OBJECTIVES: To determine the prevalence of imposter syndrome (IS) among Saudi adults and its association with burnout. METHODS: Using non-probability convenience sampling, we carried out a cross-sectional analytical study among adults in Northern Saudi Arabia. Data collection toll was a self-administered questionnaire containing young imposter scale (YIS), Maslach burnout inventory (MBI) and depression, anxiety, and stress scale 21 (DASS 21). These 3 scales are valid and reliable measurement tools for measuring IS, burnout, and psychological morbidity. RESULTS: In the study sample (n=384), imposterism was present among 222 adults (57.8%). Moderate and severe symptoms of depression were present in 217 (56.5%), symptoms of stress in 210 (54.7%), and symptoms of anxiety in 126 (32.8%). Burnout was measured in 3 domains of depersonalization, emotion exhaustion, and personal accomplishments. High degree of depersonalization was found in 221 (57.6%), higher emotional exhaustion in 246 (64.1%) while lower personal accomplishment was present in 126 (32.8%). We found statistical association between IS and gender (p less than 0.01), depression (p less than 0.001) stress (p less than 0.001) and all 3 domains of burnout (p less than 0.01). Imposter syndrome was not found associated with anxiety (p=0.97). Young imposter scale score was associated with all the 3 domains of burnout even after controlling for depression, anxiety, and stress. CONCLUSION: Imposter syndrome is frequent among Saudi adults and associated with all 3 burnout domains. Mental health domains like burnout, depression, stress, and anxiety were found associated with IS.",,"['Alrayyes, Saad', 'Dar, Umar F', 'Alrayes, Musab', 'Alghutayghit, Ahmed', 'Alrayyes, Nouf']","['Alrayyes S', 'Dar UF', 'Alrayes M', 'Alghutayghit A', 'Alrayyes N']","['College of Medicine, Jouf Universityl, Sakaka, Kingdom of Saudi Arabia. E-mail. saadrayyes@gmail.com.']",['eng'],['Journal Article'],,Saudi Arabia,Saudi Med J,Saudi medical journal,7909441,IM,,,,2020/02/06 06:00,2020/02/06 06:00,['2020/02/06 06:00'],"['2020/02/06 06:00 [entrez]', '2020/02/06 06:00 [pubmed]', '2020/02/06 06:00 [medline]']",['10.15537/smj.2020.2.24841 [doi]'],ppublish,Saudi Med J. 2020 Feb;41(2):189-194. doi: 10.15537/smj.2020.2.24841.,2,,,,,,,,,,,,,,
31953638,NLM,In-Process,20200716,2196-8837 (Electronic) 2196-8837 (Linking),7,2020 Apr,Releasing the Net to Promote Minority Faculty Success in Academic Medicine.,202-206,10.1007/s40615-020-00703-z [doi],"Underrepresented minority faculty in academic medicine continue to be underrepresented in academic health centers across the country. Their underrepresentation impacts advancements in clinical care, education, and discovery and slows our forward progress in the field. Underrepresented in medicine faculty includes people who are black or African American, Hispanic or Latinx, or Native American. Barriers to underrepresented faculty recruitment, retention, and advancement include minority and gratitude taxes, imposter syndrome, and a lack of an appreciation of power distance and distance traveled. This article reviews five barriers to progress in achieving appropriate diversity among faculty and leadership of academic health centers, focusing on the multiplying effects of these barriers and potential steps forward.",,"['Campbell, Kendall M', 'Hudson, Briana D', 'Tumin, Dmitry']","['Campbell KM', 'Hudson BD', 'Tumin D']","['Division of Academic Affairs, Academic Medicine, Brody School of Medicine, East Carolina University, 600 Moye Blvd AD-47, Greenville, NC, NC 27834, USA. campbellke16@ecu.edu.', 'Department of Public Health, Brody School of Medicine, East Carolina University, Greenville, NC, USA.', 'Department of Pediatrics, Brody School of Medicine, East Carolina University, Greenville, NC, USA.']",['eng'],['Journal Article'],20200117,Switzerland,J Racial Ethn Health Disparities,Journal of racial and ethnic health disparities,101628476,IM,,['NOTNLM'],"['*Academic medicine', '*Minority tax', '*Underrepresented minority faculty']",2020/01/19 06:00,2020/01/19 06:00,['2020/01/19 06:00'],"['2019/12/03 00:00 [received]', '2020/01/09 00:00 [accepted]', '2020/01/08 00:00 [revised]', '2020/01/19 06:00 [pubmed]', '2020/01/19 06:00 [medline]', '2020/01/19 06:00 [entrez]']","['10.1007/s40615-020-00703-z [doi]', '10.1007/s40615-020-00703-z [pii]']",ppublish,J Racial Ethn Health Disparities. 2020 Apr;7(2):202-206. doi: 10.1007/s40615-020-00703-z. Epub 2020 Jan 17.,2,,['ORCID: 0000-0001-7484-6138'],,,,,,,,,,,,
31913960,NLM,MEDLINE,20201103,1546-4156 (Electronic) 0893-0341 (Linking),34,2020 Jan-Mar,Capgras Syndrome in the Young: Schizophrenia or Alzheimer Disease?,94-96,10.1097/WAD.0000000000000360 [doi],"This is a case report of an atypical presentation of early onset Alzheimer disease (EOAD) in a young patient with Capgras syndrome and cognitive impairment. The concurrent onset of psychiatric and cognitive symptoms prompted a detailed evaluation for a neurodegenerative disease. A 50-year-old male lawyer presented with low mood, apathy, delusions, and auditory hallucinations over 18 months. He considered his wife as an imposter and would require her text message to confirm her identity. He became more forgetful and had to give up his law practice. His neuropsychological assessment was impaired in all domains. Genetic testing revealed homozygosity for APOEe4 alleles. His magnetic resonance imaging showed predominant parietal and medial temporal atrophy, [18F]Fluorodeoxyglucose positron emission tomography showed frontal, parietal and posterior temporal hypometabolism and [18F]Flutemetamol positron emission tomography was positive for amyloid deposition, leading to the diagnosis of EOAD. This case highlights EOAD as a differential diagnosis in young patients who present with Capgras syndrome.",,"['Ng, Kok Pin', 'Wong, Benjamin', 'Xie, Wanying', 'Kandiah, Nagaendran']","['Ng KP', 'Wong B', 'Xie W', 'Kandiah N']","['Department of Neurology, National Neuroscience Institute.', 'Department of Neurology, National Neuroscience Institute.', 'Department of Nuclear Medicine and Molecular Imaging, Singapore General Hospital.', 'Department of Neurology, National Neuroscience Institute.', 'Duke-NUS, Singapore, Singapore.']",['eng'],"['Case Reports', 'Journal Article']",,United States,Alzheimer Dis Assoc Disord,Alzheimer disease and associated disorders,8704771,IM,,,,2020/01/09 06:00,2020/11/04 06:00,['2020/01/09 06:00'],"['2020/01/09 06:00 [pubmed]', '2020/11/04 06:00 [medline]', '2020/01/09 06:00 [entrez]']",['10.1097/WAD.0000000000000360 [doi]'],ppublish,Alzheimer Dis Assoc Disord. 2020 Jan-Mar;34(1):94-96. doi: 10.1097/WAD.0000000000000360.,1,,,20201103,"['Alzheimer Disease/*diagnostic imaging/genetics', 'Brain/*pathology', 'Capgras Syndrome/*diagnosis', 'Diagnosis, Differential', 'Fluorodeoxyglucose F18', 'Humans', 'Magnetic Resonance Imaging', 'Male', 'Middle Aged', 'Neurodegenerative Diseases/*psychology', 'Positron-Emission Tomography', 'Schizophrenia']",,['0Z5B2CJX4D (Fluorodeoxyglucose F18)'],,,,,,,,
31865443,NLM,MEDLINE,20200916,1432-1971 (Electronic) 0172-0643 (Linking),41,2020 Apr,Fears and Stressors of Trainees Starting Fellowship in Pediatric Cardiology.,677-682,10.1007/s00246-019-02276-z [doi],"Post-graduate training for physicians involves a high level of stress. High stress during training has the potential to cause burnout, a well-studied phenomenon in medical trainees. Burnout has previously been shown to increase the risk of mental health problems and medical error in trainees. Little research has been done on the impact of stress on new fellows in general and pediatric cardiology fellows in particular; understanding common sources of stress offers the opportunity to design targeted interventions to support trainee wellness. New trainees in Boston Children's Hospital's Pediatric Cardiology Fellowship program were asked to answer to the following question at the beginning of their training: ""What are you afraid of in the coming year?"" A qualitative content analysis was done on their anonymous responses. Responses were coded and analyzed for common themes. The overall analysis found that 83% of fellows reported fear of ""fellowship/career responsibilities."" The second most common theme was ""failure/disappointment"" (78%) followed by ""personal life"" (74%), ""emotional exhaustion"" (61%); least common was ""new hospital environment"" (37%). The most common individual fear was ""increased clinical responsibility"" reported by 65% of the new fellows, while 62% reported fears of ""imposter syndrome,"" and 58% about ""burnout."" We found that fellows commonly report fears about both clinical and personal responsibilities, similar to stressors found in studies on residency. It is important for pediatric cardiology fellowships to develop early and specific interventions designed to assist fellows in managing both their new clinical responsibilities and their other stressors.",,"['Brown, David W', 'Binney, Geoffrey', 'Gauthier, Zachary', 'Blume, Elizabeth D']","['Brown DW', 'Binney G', 'Gauthier Z', 'Blume ED']","[""Department of Cardiology, Boston Children's Hospital, 300 Longwood Avenue, Boston, MA, 02115, USA. david.brown@cardio.chboston.org."", ""Department of Cardiology, Boston Children's Hospital, 300 Longwood Avenue, Boston, MA, 02115, USA."", ""Department of Cardiology, Boston Children's Hospital, 300 Longwood Avenue, Boston, MA, 02115, USA."", ""Department of Cardiology, Boston Children's Hospital, 300 Longwood Avenue, Boston, MA, 02115, USA.""]",['eng'],['Journal Article'],20191221,United States,Pediatr Cardiol,Pediatric cardiology,8003849,IM,,['NOTNLM'],"['Burnout', 'Fellowship', 'Post-graduate medical education', 'Stress', 'Training', 'Wellness']",2019/12/23 06:00,2020/09/17 06:00,['2019/12/23 06:00'],"['2019/09/23 00:00 [received]', '2019/12/11 00:00 [accepted]', '2019/12/23 06:00 [pubmed]', '2020/09/17 06:00 [medline]', '2019/12/23 06:00 [entrez]']","['10.1007/s00246-019-02276-z [doi]', '10.1007/s00246-019-02276-z [pii]']",ppublish,Pediatr Cardiol. 2020 Apr;41(4):677-682. doi: 10.1007/s00246-019-02276-z. Epub 2019 Dec 21.,4,,['ORCID: http://orcid.org/0000-0002-8406-5957'],20200916,"['Cardiology/*education', 'Child', 'Fear/psychology', 'Fellowships and Scholarships', 'Humans', 'Occupational Stress/psychology', 'Pediatrics/*education', 'Physicians/*psychology', 'Surveys and Questionnaires']",,,,,,,,,,
31764995,NLM,In-Process,20201006,1097-4679 (Electronic) 0021-9762 (Linking),76,2020 Feb,"Secrets, lies, and disguise: The case of andy warhol.",298-304,10.1002/jclp.22897 [doi],"The life and works of the great American artist Andy Warhol (1928-1987) are examined in the context of Warhol's compulsive and often gratuitous lying. Elements of early trauma-contracting St. Vitus Dance at age of 7, his father's death at age of 13, and the abject poverty in which he grew up as the son of immigrants-are viewed as central antecedents of his deceptiveness. The relevance of these dynamics to the clinical situation is examined.","['(c) 2019 Wiley Periodicals, Inc.']","['Lieberman, Janice S']",['Lieberman JS'],"['55 East 87th Street, New York, New York.']",['eng'],['Case Reports'],20191125,United States,J Clin Psychol,Journal of clinical psychology,0217132,IM,,['NOTNLM'],"['*Warhol', '*art', '*deception', '*imposter syndrome']",2019/11/26 06:00,2019/11/26 06:00,['2019/11/26 06:00'],"['2019/11/26 06:00 [pubmed]', '2019/11/26 06:00 [medline]', '2019/11/26 06:00 [entrez]']",['10.1002/jclp.22897 [doi]'],ppublish,J Clin Psychol. 2020 Feb;76(2):298-304. doi: 10.1002/jclp.22897. Epub 2019 Nov 25.,2,,,,,,,,,,,,,,
